example,label
@ekrem_imamoglu @BskAliKilic,unusable
@meral_aksener Helal etmiyoruz hakkımızı bu iktidar ve başarısız muhalefet bize bir gençlik borçlu,manipulative
@MHP_Bilgi D E V A M,not manipulative
@meral_aksener   bu ülkede onlarca #sma hastası bebe var Meral Akşener'e saldırıp aç falan yok zekât vereyim diyinceye kadar git.yardim et,manipulative
@Akparti VE Devlet büyüklerinden Allah rızası için bana bu konuda yardımcı olursanız çok memnun olurum sayın Cumhurbaşkanim,not manipulative
"@meral_aksener Evet başkanım o genç sizin hükümet olduğunuz zamanı görmedi.Eflasyonun kaç  olduğunu,işsizlik durumunu ,memur ve işçiye sıfır zam verildiğini ve terörün zirve yaptığını bir öğrense eminim 'ki bu günler için şükür eder.",not manipulative
"@ekrem_imamoglu İyi ki varsınıZ, hepsinin yüreğine, ellerine kollarına sağlık bravo 👏🏼",not manipulative
@MHP_Bilgi Sonunda,not manipulative
"@ekrem_imamoglu Sinop'ta görüştüğüm bir afetzede ''Ekrem başkanım durum çok kötü. Evlerimiz, köprüler selden ötürü yıkıldı, çöktü. Çok fazla sorun var. Desteklerinizi bekliyoruz.'' dedi.",manipulative
@meral_aksener 1. Sınavlarda baraj düşürme işini desteklemeniz yanlış.  2. O ormanlarla alakalı kanuna onay veren milletvekilleri hakkında bir söz söylemeyecek misiniz? 3. Ne zaman mültecilerle ilgili net duruş sergileyeceksiniz?,not manipulative
@faikoztrak Danışmanların akıl sağlığı bozulmuş. Hafızaları gidiyor geliyor.,manipulative
@RTErdogan @yilmazgul35351 Fabrika açılışımı🤣😂🤣😂🤣😂,unusable
@ekrem_imamoglu  https://t.co/AlJihqt140,unusable
"@MHP_Bilgi Tren gelir, hoş gelir....",not manipulative
@ekrem_imamoglu 👏👏👏👏👏,not manipulative
@ekrem_imamoglu Geçmiş olsun Allah böyle felaket ler vermesin birdaha 😓 teşekkür ederiz destek için başkan 👏👏,not manipulative
@ekrem_imamoglu Sayın Başkanım şuanda Dolmabahçe Caddesinden geçiyorum ve cadde boyunca güzel çınar ağaçları kurumaktan ölmek üzere gram su verilmiyor anlamak imkansız lütfen yol boyunca uzanan çınar ağaçları ile ilgilenin,not manipulative
"@MHP_Bilgi Çik delikanli gibi seviştim de kurtul, kasetin var diye Maymuna dondun .",manipulative
@tcbestepe AMİİNN INSAALLAH,not manipulative
@MHP_Bilgi Hep sizlerin yanında olduk  Bizlere sahip çıkınız #EhliyetAffı,not manipulative
@MHP_Bilgi Sayın genel başkanım İstanbul özbek Türkmen afkan dolu bunların hepsi çalışıyor döviz alıp ülkelerine Gönderiyor dövizin yukselmesine Neden oluyorlar cezasını biz çekiyoruz,manipulative
@ekrem_imamoglu Bir ateş alıp geldiler sanırım.,manipulative
@herkesicinCHP Evet sınır namustur ama Chp ne sınırdan anlar ne pkkdan bence.Önce partideki pkk sevicileri temizleyin.Atatürkçü bir parti değilsiniz.,manipulative
@tcbestepe @suleymansoylu @TC_Disisleri @TC_icisleri @TC_istanbul #AfganTacizci,unusable
@herkesicinCHP Devletlerde yönetimler değişebilir ama ilişkiler devam eder canım benim.,not manipulative
"@meral_aksener Allah rahmet eylesin.  Mekanları cennet olsun inşallah.  Yaralı askerlerimiz de inşallah iyileşir, sağlıklarını kavuşurlar.",not manipulative
@Akparti #EhliyetAffı  #EhliyetAffı,unusable
@ekrem_imamoglu Sayın Başkan yangın helikopteri için de bir hesap açın! Bu millet dürüstlüğe bırakın parasını canını verir! Çünkü bu topraklarda eksine takımda “dürüstlük” o kadar az görünen bir şeydir ki millet buldu mu bırakmaz! Ayağınıza taş değmesin,not manipulative
@RTErdogan Allah cc yar ve yardımcınız olsun İnşallah,not manipulative
"@BY ""İşgal günlerindeki işbirlikler hortladı"" kitabı aklıma geldi",not manipulative
@meral_aksener CHP hdp iyi parti el ele kol kola bu hükümeti kurarlarsa sen 16 yaşındaki genç umudun yok diyorsunda o zaman Türkiye devleti diye bir devlet olmayacak o zaman Umut Umut diye anırıyorsun öğün geldigınde Umut diye birşeyin olmayacak,manipulative
@ekrem_imamoglu Selamunaleykum esim issiz 2 küçük çocuğum var bezleri sütü yok kiramiz faturalarımız var lutfen kayıtsız kalmayın allah rızası için bizleride duyun,not manipulative
@ekrem_imamoglu Sana belediye seçimlerinde oy veren şerefsizler hdp pkk lılar yaptı mutlumusun trabzonlu,manipulative
@MHP_Bilgi Peki sınırlarımızdan giren onca neydi belirsiz afganların varlığı nedir dostane mi,manipulative
@iyiparti Değerli liderimiz 🤗♥️♥️♥️♥️♥️♥️♥️,not manipulative
@meral_aksener Apla Utanmış falan filan  gutimle güldüm 😂😂,not manipulative
"@faikoztrak @RTErdogan gitsin, oğlu vs. Pek severler Taliban'ı... damadı unuttum...askerlerimizi getirin @tcsavunma Taliban'a yem edemeyiz... Askerler geri gelmek zorunda @dbdevletbahceli ne anlar...",manipulative
@herkesicinCHP Bunlar için ne diceksin öz traşçı  https://t.co/Hwtc4Xa381,manipulative
@ekrem_imamoglu Cengiz'e haksızlık olmuyor mu?,not manipulative
@meral_aksener 16 yaşındaki çocuğun ne derdi olur babasının parasını yiyor şuanda. Tiyatrolarınızda çocuk oyuncu oynatmak suç degilmi😂😂,not manipulative
@ekrem_imamoglu @Canan_Kaftanci @kilicdarogluk @FOXhaber @herkesicinCHP nasıl her şey çok güzel oluyormu gençler,not manipulative
@meral_aksener @iyiparti Hem pkk ya özgürlük isteyeceksin hem Erene kahraman diyeceksin hadi ordan ahlaksız rezil  Erenin mübarek ismini pis ağzına alma,manipulative
@meral_aksener Yazık ya iktidarı suçlayacak bir şey bulamadın mı? Sen de utanma olmadığı için neden iktidar küresel ısınmaya izin verdi bir anda bu kadar yağmurun yağması iktidarın suçudur gibi saçmalamaya devam edebilirsin mesela bu ülkeye ne yaptıysan taş taş üstüne koydun mu ülke için,manipulative
"@tcbestepe @RTErdogan sosyal medya ile ilgili düzenleme gelecek diyorsunuz ama muhtemelen bahsettiğiniz twitter, facebook,instagram kapatmaktan bahsediyorsunuz sanırım",manipulative
"@ekrem_imamoglu Her acıdan nemalanma peşinde olan ikili, karar verdiniz mi? Hanginiz aday.....",not manipulative
@meral_aksener Meros yaaaa istifa et sen fetocusun diyenleri de yayınlasan bak bu sefer ben demedim Sivas halkı sesim oldu,manipulative
@ekrem_imamoglu @tweet_stamp stamp,not manipulative
@BY Kit mi götürdünüz  @BY   ?? Poşetleydi demi 😁😁,not manipulative
@meral_aksener O esnafında sizinde gözünüze dizinize dursun nankörler hayinler sizi,manipulative
@ekrem_imamoglu 500k alınır papara hesapları  Kimlik alınır  Seri onay seri ödeme,not manipulative
"@tcbestepe @RTErdogan Ülkemizde mülteci afganlısı suriyelesini istemiyoruz binlercesi sınır kapımız yokmuşçasına geliyor, Suriyeli ve afganları doyurup iş güç ev vereceğinize kendi halkımıza sahip çıkın",manipulative
@ekrem_imamoglu Cumhurbaşkanı olarak Türkiye'yi de işgalden kurtarın başkanım.,not manipulative
@tcbestepe Sudan meseleler konuşurlar şimdi,
@herkesicinCHP Hdp kol kola giren siyasi namussuzdur…,manipulative
@MHP_Bilgi Bir vatandaş olarak onu bunu bilmem Cumhuriyet tarihinin en büyük yalanını #EYTlilere sizi emekli edecez diye siz ve partiniz söyledi. @herkesicinCHP @iyiparti @devapartisi @GelecekPartiTR @tcbestepe @Akparti @dbdevletbahceli @meral_aksener @kilicdarogluk @alibabacan @EytSydDer,manipulative
"@meral_aksener CNN Türk'te Afganistan'dan bugün gelmiş birisi konuşuyordu. THY uçağına yığılmaya çalışan olmadı çünkü Türk ordusu koruyordu, ABD uçaklarına binmeye çalıştılar dedi.  Çok enteresan şeyler yaşanıyor demek ki. ABD düşündüğümüzden de fena halde yakalanmış.",not manipulative
@faikoztrak Yol yapdıı köprü yapdıı,not manipulative
"@meral_aksener iki yüzlülük tamda bu işte!!eren bülbülü,senin kahvaltı yapmak için can attığın arkadaşın olan terörist selattin demirtasin itleri şehit yaptı..2 oy için kılıftan kılıfa giren MERAL hiç samimî değilsin oyüzden gittiğin her yerde protesto ile karşılaşıyorsun,YAZIK senin siyasetine",manipulative
@meral_aksener @kilicdarogluk,unusable
@meral_aksener Aslanım ! Meral ninen tutar kolundan senin 😆,not manipulative
@MHP_Bilgi @dbdevletbahceli @Ulku_Ocaklari  Allah aşkına bir dur diyin artık,unusable
@herkesicinCHP demek terör örgütü PKK yı savunan demektir @herkesicinCHP demek terörist @hdpdemirtas ı savunan demektir,manipulative
"@herkesicinCHP Türkiye 5 kat ilerledi... Siztin Cumhuriyet tarihinde veremediginiz hizmetler 19 yilda verildi... Genel baskaniza sorun Hastanelerin onun zamanindaki durumunu... Bu ara, birde IMFci vardi... Faik´miydi, Trak´miydi ne...  https://t.co/CgsSAPqFmy",not manipulative
@meral_aksener Yalan siyasetiniz batsın rezilsiniz!👇  https://t.co/UblkLDyhRG,manipulative
@ekrem_imamoglu Bizde sizinle gurur duyuyoruz.,not manipulative
@BY Amin,not manipulative
@BY bizi Avrupa değil kendi ülkemiz ilgilendirir,not manipulative
@ekrem_imamoglu Sel felaketinde mağdur olanlara çok geçmiş olsun. Siz de büyük bir yönetici olduğunuzu her fırsatta ortaya koyuyorsunuz. Bravo büyük başkan 👏👏,not manipulative
@ekrem_imamoglu Yelek gitmesini unutmuşsunuz 😁😁😁,not manipulative
@ekrem_imamoglu ÜZÜLME BASKANIM 2023 CB BASKANI OLCAGIN AKLINA GELSİN MUTLU OL İYİ GECELER 😘,not manipulative
@ekrem_imamoglu  https://t.co/kxNDWwGnbP,unusable
@tcbestepe @TBMMresmi @saglikbakanligi @TC_Disisleri @RTErdogan @MevlutCavusoglu bu yayin doğru mu? #KabineBaskıyıKaldır,not manipulative
@meral_aksener Her gittiğin ilde yuhalanıyorsun.,manipulative
@RTErdogan elle dit jouir &amp; l’autre porc commente pas sa vraie politique : 1 film erotique,unusable
@tcbestepe @tcmeb @lutfielvan #Kpss2020Ek40bin,unusable
"@ekrem_imamoglu tehdit altında Türkiye, TEHTİT ALTINDA CHP.  ipin ucu kaçarsa yönetenler de hiç bir şey yapamaz, kimse ne olduğunu BAŞTAN BERİ ANLAMAYAN ANLAMADI ZATEN:) CHP HER ZAMAN NÖBETTE KOLAY GELSİN EKREM BAŞKAN:))",not manipulative
@tcbestepe Ayağına taş değmesin REİS,not manipulative
@meral_aksener Çocuk haklı ben 30 yaşındayım bı gram ümidim yok Kuracak hayalim bile yok o kadar ki sıkıldık. Ve sizin gibi muhalefet oldukça daha da çok sıkılacagiz,manipulative
@meral_aksener Bayburta olduğu gibi troller ne yaparlarsa yapsınlar iktidara yürüyoruz yolun açık olsun cessur yürekli liderim,not manipulative
@meral_aksener Komiksin meral,not manipulative
@RTErdogan Eli boş mu gelmiş yoksa kahve getirmiş mi? Bir dahaki sefere Etiyopya kahvesi fırlatacaksan geleceğim reis,not manipulative
@ekrem_imamoglu  Bu görüntüler için sözünüz var mı? @banasesolkus  @kadinkoalisyonu  @KadinCinayeti,unusable
@ekrem_imamoglu Var ol Başkan👏👏👏,not manipulative
@tcbestepe #freeFredLumbuye,unusable
@faikoztrak EYY CHP NEDEN 19 SENEDİR EKONOMIYI ADALETI BİTİRDİNİZ KIM SIZI SIRAYA KOYUYOR? AMACINIZ NEDIR? ULKEYI NEDE GÖÇMENISTAN YAPTINIZ EYYY KILIÇDAROGLU !!,manipulative
"@BY Bizi yarım yüzyıl oyalayip dalga geçen avrupayı koruyoruz öylemi,avrupaya çarpacak göktaşının önüne siper oluyoruz ,harakiri yapıyoruz ve buna övünüyoruz neden?menfaatimiz ne?ne kazanacağız? Yok bir çıkarımız derseniz,o zaman bende derimki aziz nesin mezarından kalksın bn greyim",not manipulative
@ekrem_imamoglu Eköooo sen kendinden bahsediyorsun heralde hadi ordannnnnn,not manipulative
"@meral_aksener Hep senaryo hep tiyatro.Sonra niye bizi protesto ediyorlar.Siyaset senin işin değil,evine git,rezil olmaya değmez.",manipulative
@ekrem_imamoglu Başkanım doğruluk payı nedir #ProvokasyonaGelme yelim kimsenin günahına girmeyelim açıklama bekliyoruz teşekkürler #selfelaketi 🥺 Bu durumda bile ayrımcılık yapılabiliyorsa sözün bittiği yerde millet başlar🤷🏻‍♀️  https://t.co/NIDHAsN287,not manipulative
@meral_aksener @yasaryorulmaz30 Büyük başkan   benimde sesimi duyun,not manipulative
@meral_aksener @iyiparti Konuş ablam yaa nihayet bu konuya geldin #UElkemdeSığınmacıİstemiyorum,unusable
"@meral_aksener söylem ve eyleminiz bir birine uygun değil, insanın aklı ile oynamayın yemezler",manipulative
@meral_aksener Ya siz ne hainsiniz ne var bunda acaba,manipulative
@herkesicinCHP İşte şu kara gözlüklü  https://t.co/fXuCvQatDi,unusable
@ekrem_imamoglu Millet boşuna oy vermedi halka ait herşey halka nasıl döndüğünün kanıtıdır. Yıllardır milletin kaynakları üç beş ıvır zıvırlara gitmiş.,not manipulative
@faikoztrak Bilin  https://t.co/aebKUtZKQh,unusable
"@meral_aksener boşa geziyorsun, sürekli protesto ediliyorsun hala aklın başına gelmedi mi? halk seni istemiyor...  https://t.co/FRHhUqfXlM",manipulative
@ekrem_imamoglu,unusable
@ekrem_imamoglu Keşke birazda sen çalışsan ekrem.baskan tatillerden çalışmaya fırsat bulamıyorsun,not manipulative
@meral_aksener FETÖCÜ  TERÖRİST,manipulative
@meral_aksener Orman arazilerinde yapılaşma iznine evet diyen 14 vekil hakkında işlem yapmayı düşünüyor musunuz?,not manipulative
@RTErdogan @dbdevletbahceli @tuncsoyer #İzmireKulakVerin,unusable
"@meral_aksener Be hadsiz kadın, Irak’ın kuzeyinde senin Mehmetçik’in işi ne diye sorsana",manipulative
@ekrem_imamoglu Bence bu bölgede yapılanlarda bakanlıkların payı en büyük. Gerçekten müthiş bir mücadele örneği gösterdiler.,not manipulative
@ekrem_imamoglu 👋👋👋👋👋👋,not manipulative
@tcbestepe @RTErdogan Niye maske yok ?,not manipulative
@iyiparti @MDervisogluTR Peki Erzincan'ın son seçimlerdeki oy oranı kaç?,not manipulative
@ekrem_imamoglu  iett otobüsleri yollarda kalıyor. Önce onlara başkasınız başkan,not manipulative
"@meral_aksener ""Türk çocuğu, artık Arap çölleri için kanını dökmeyecektir.""  -MUSTAFA KEMÂL ATATÜRK  https://t.co/MMJsZQaYb2",not manipulative
@ekrem_imamoglu Allah rahmet eylesin mekanı cennet olsun Insallah MEKANLARI CENNET OLSUN İNŞALLAH,not manipulative
@meral_aksener Askeri o kadar seviyorsunuzki .pkk nın siyasi kanadı  Hdp ile ittifak yapmaktan selo ile kahvaltı hayallerindende geri kalmıyorsun Meral hanım. Bune perhis bu ne lahana turşusu,manipulative
"@meral_aksener Teyze,sen bir sus. Asker işini senden daha iyi bilir.nezaman çekileceğini sen mi öğreteceksin askere",manipulative
@meral_aksener Bırak milleti kakalamayıda şu ilçe başkanıyın yediği nanane ye bak çakma ülkücü  https://t.co/57AXelZFzd,manipulative
@herkesicinCHP Namussuz adamlaramı kaldı namus PKK lı yawşaklar @herkesicinCHP  @kilicdarogluk  https://t.co/TNl7CMGRqY,manipulative
@iyiparti İktidarı eleştirmek hakaret etmek özgürlük  Muhalefeti eleştirmek dayak sebebi !,not manipulative
"@meral_aksener 15 Temmuz şehidinin ağabeyi MERALİ yerden yere vuruyor ve 15 Temmuz dan önce başbakan olacağım dediniz Bunun açıklamasını yapın."" diyor.  MERAL kelime oyunuyla ""Öyle bir sözüm yok"" yanıtını veriyor  ""Yurtta sulh, ben başbakan olacağım"" diyen şu şahıs kim?  https://t.co/apWvrc7aOU",unusable
@BY Gerçekten mi,not manipulative
@ekrem_imamoglu Sayın başkan tekme atan zabıta hakkında görüşünüz nedir,not manipulative
"@tcbestepe Hes iyidir , bence hes olmalidir",not manipulative
@ekrem_imamoglu Kazasız belasız kolaylıklar diliyorum Rabbim sele maruz kalanların ve yardım ekiplerinin yardımcıları olsun inşallah,not manipulative
"@ekrem_imamoglu Izine ayrilmadinizmi :) Nasilda zaman buldunuz, afet yerlere gitmiyen adam reklam yapiyor... tehhhhh",not manipulative
@ekrem_imamoglu BAŞKANIM SADECE SİLİVRİ GARİP KALDI YILLARDIR KİMSE BİR TAŞ KOYMADI(METRO-METROBÜS) UMARIM SİZ BİR TAŞ DEĞİL BİRSÜRÜ TAŞ KOYARSINIZ DEĞİŞİM İSTİYORUZ SİLİVRİ GİBİ GÜZEL BİR İLÇE YE UNUTMAYIN... SİLİVRİ DE YAŞAMAK GÜZELDİR...,not manipulative
@iyiparti @herkesicinCHP full tiyatro. Yüzleri de kızarmıyor,manipulative
@ekrem_imamoglu SAYIN BASKANIM  BEN ENGELLI BIR BABAYIM OĞLUM IÇIN BANA EL UZATIR MISIN RICA ETSEM GELIRIMIZ HIC YOK ARAŞTIRIN SAYIN BASKANIM PISKOLEJIM BOZULDU ÇOCUĞUMA BISEY YAPAMADIM EVIM KIRA MANULEN EMEKLI OLAMADIM  PARASIZLIKTAN MANULEN EMEKLI OLMAM IÇIN SSK YA ASKER BORÇLANMASI CIKTI YARD  https://t.co/ucWV8200ib,not manipulative
@meral_aksener Kahvaltıya davet edeceğiniz şahsın sırtını dayadıkları bu alçak saldırıyı yaptı..Haberiniz olsun?,not manipulative
@MHP_Bilgi Yalancı arıyorsanız kendininkini andımızı okutmaz isem namerdim diyen okullarda hala okunmuyor namertsin yalancının önde gidenisin vagon amacı olmayan Yalancı,manipulative
@meral_aksener Sen önce bu tiyatrolarından utan meral teyze,manipulative
@faikoztrak Kk istifa.,unusable
@faikoztrak 11 yaşında ama Babası Emekli Sizce bu baba kaç yaşındadır?,not manipulative
@ekrem_imamoglu  Hemşehrilerinize kolaylık yerine  EZİYET MADDİ KÜLFET Yüklediğinizin farkındamısınız!! Bu hat üzerinde ikamet eden Hemşehrileriniz bu hat üzerinde bulunan hastanelere sağlık kuruluşlarına gitmek için KM46 sonra binecekleri iett araçlarına 2.kez ücret verecekler++,not manipulative
@MHP_Bilgi Allah rahmet eylesin.,not manipulative
@herkesicinCHP  @kilicdarogluk  @devapartisi  @alibabacan  @meral_aksener  @iyiparti  biraz da sosyal hayattaki problemlere değinseniz mi??+ Kimse Turizm'in-Turizmcilerin sorunlarindan bahsetmiyor..,not manipulative
"@meral_aksener Doğma büyüme köy çocuğu, Kars'ta bir ilçenin köy okulunda okuyor, gram aksan yok. Bu gençleri sizin zamanınıza ışınlamak lazım, o zaman görürler hayat pahalılığını. Sırf iktidara gelmek için insanların umutlarını çalıyorsunuz. Güzel kurgu.",manipulative
"@ekrem_imamoglu Bilim insanları uyarıyor: Küresel ısınma ve bilimden yoksun yapılaşma dünyayı zor bir geleceğe sürüklüyor.  Kuraklık, orman yangınları, aşırı yağışlar, su baskınları, seller ve fırtınalar büyük krizlere neden olacak!  https://t.co/ovqyxMazS1",not manipulative
"@iyiparti Sivaslılar, PKK ormanlarımızı yakıyor sesiniz neden çıkmıyor? diye soruyor? Önce ""alçak PKK"" diye twit atıp, daha sonra kimin emri ile sildiniz diye soruyor? Hala PKK ile niye yoldaşsın diye soruyor? Erdoğan'a neden düşmansın diye soruyor? CHP nin ihanetine neden sessizsin?",manipulative
"@meral_aksener SN. Meral Akşener,SN.@kilicdarogluk ,SN. @T_Karamollaoglu ,SN.@DpGultekinUysal   Oturduğunuz yerden konuşmayı birakin artık.  Gidin İran sınırına.Gelen Afganlarin durması için.Tüm milletvekilleriniz,parti kurmaylarınızla.  ÜLKENİN GENLERİYLE OYNUYORLAR. GELECEĞİNİ BİTİRİYORLAR.",manipulative
@ekrem_imamoglu,unusable
@meral_aksener Herkes inancını içinde yaşasın Siyasilerin dini kullanması doğru değil,not manipulative
@meral_aksener Onun kanı ellerinizde.. Ölene ağıt yakıp öldürenin sırtını sıvazlamaktan utanmamak nasıl bir karakterdir? Bedeliniz ağır olsun! Hem hainsiniz hem yalancı.,manipulative
@ekrem_imamoglu başkanım yeni yapılan metro projelerinde bundanımız da olsun 🙋😎💫,not manipulative
@tcbestepe sayin baskanim 10 gundur jarantinada temasli olarak kaliyorum test icin gelmediler eve lutfen yardimci olurmusnz rica etsem belim bogazim cok kotu ahriyo dsari cikamiyom yasak bide  gereginin yapilmasini arz ederim elazig,not manipulative
@ekrem_imamoglu Türkiye'nin umudu 🇹🇷♥️,not manipulative
@Akparti @RTErdogan Ne kadar uğursuz bir iktidarsa bütün felaketler bir biri ardına geliyor,manipulative
"@meral_aksener Sen bu yalanların kurguların, halkı tahrik etme çabalarının vebalini nasıl ödeyeceksin Meral?",manipulative
"@ekrem_imamoglu Sayın Başkan'ımız ,Engin Altay Halk Tv de biraz önce sizin ve CHP lilerin yardımlarını geri çeviriyormuş , nasıl bir ülke olduk, emekliyim bu yaşa kadar ülkem için ağladığım enderdir,ne olacak halimiz? 😢😢",not manipulative
"@meral_aksener Sayın Akşener, kardeşimizi dinlerken inan içim sızladı.16 yaşında ıslık çalarak gezmesi gerekir dediniz haklısınız. Ya peki 6 ayında 2 yaşında 4 yaşında hapiste çürüyen bebekler için siz elinizden geleni yapıyormusunuz? Devletin açtığı bankaya para yatırmış diye hayatları karardı",not manipulative
@MHP_Bilgi Allah rahmet eylesin mekanı cennet olsun,not manipulative
@ekrem_imamoglu Kendini sağlama al sen. Loojjman o joojmann!!,unusable
@MHP_Bilgi Allah a şükür nihayet,not manipulative
"@meral_aksener Emredersiniz, askerimiz gelsin siz gidin",not manipulative
@MHP_Bilgi @GizemKocaDB1677 Allah rahmet eylesin,not manipulative
"@tcbestepe Eğitim berbat,sağlik berbat büyükşehirlerde özellikle bursada ulaşim ve hava berbat.aile kavrami berbat.gecim sıkıntısı berbat.genclik uyuşturucu batakliğinda.şehir yerleşimi berbat özellikle bursada %80 kacak gecekondu olarak büyüyor daha sayayimmı?",manipulative
@ekrem_imamoglu Allı turnammm bizim el e varırsannn tuz söyle şeker söyleee kaymak söyleee 🇹🇷✌,not manipulative
@meral_aksener Sayın başkana Bayburtta da saldırı oldu artık bu kesinlikle bilinçli kasıtlı ve organize bir eylemdir🇹🇷Geçmiş olsun Başkanım🙏🏽🌸,not manipulative
@ekrem_imamoglu Birleştirici bir ruha sahip. Böyle siyasetçiler günümüzde pek çıkmıyor.,not manipulative
@ekrem_imamoglu Aferin Aferin işte böyle ol ne gidip kişi başı 6 bin TL yemek yediriyorsun,not manipulative
@tcbestepe #chpkk #gizlianayasa #MilliHesaplarBurada,unusable
@meral_aksener Sen kimsin ???????????,not manipulative
"@meral_aksener Anladığım kadarıyla, bunlar özünde Amerika yatan afganistanlılar. Yazık acınacak durumdalar. Afganistanı yabancı ülkelere çalışanlardan ibaret sananlar ın ibretlik hali. ABD destekli demokrasi hayal edenlerin yaşadıkları rüya. ABD desteği ile ulaşılan ""demokrasi"". İbret alın.",not manipulative
@meral_aksener @lvntozrn erdoğana sayın dedikçe size saldıracak. sayın demeyi bırakın sayın @meral_aksener,not manipulative
@meral_aksener Ruhu şad olsun 😌😌,not manipulative
@iyiparti NE OLACAK SAYIN HASEKI BAKIN IYI OKUYUN ___Saray ve avanesi dahil bürokrat ve tavandan tabana kadar ne kadar israf kalemi varsa hepsi kesilip yatırıma yönlendirilecek.... ___Alinan usulsüz ihaleler iptal edilecek kaçırılan vergi kalemleri kayıt altına alinacak,not manipulative
@ekrem_imamoglu bu deprem sorunu siz olmadan çözülemez umarım 2023de aday olursunuz,not manipulative
@herkesicinCHP virüsten beterler,manipulative
@ekrem_imamoglu İBBye özerklik verilsin,not manipulative
@tcbestepe Oyle bir ülke yok dolandırıyorlar sizi kandırıyorlar gene bak,not manipulative
@RTErdogan @Akparti @MHP_Bilgi,unusable
@ekrem_imamoglu Chp hep aynı. At suçu alt kademedeki zavallıya,manipulative
"@MHP_Bilgi İsini yapiyor olsaydın giremezlerdi. Laf kalabalığı yapma, kalabalik yapma. Milliyetçilik kimlere kaldı.",manipulative
@meral_aksener Tyt barajının 140 a düşürülmesi gibi Populist bi projeye destek vermeniz yakışmadı,not manipulative
@MHP_Bilgi @Akparti @TC_icisleri @jandarma @iyiparti @herkesicinCHP @RTErdogan @gazetesozcu @tgrthabertv @ATV @Ahaber @ntv @tcailesosyal @suleymansoylu @iletisim @TC_Disisleri @EmniyetGM @fahrettinaltun @dbdevletbahceli @meral_aksener @kilicdarogluk,unusable
@dbdevletbahceli Ç,not manipulative
"@faikoztrak Sınır dışı operasyonlar için, onay verdiğinizde bunu kabul etmiştiniz ey Chp…!!!!",manipulative
@meral_aksener Ağlattın beni de. 😥,not manipulative
@tcbestepe @RTErdogan  https://t.co/YXQAUF6x6k,unusable
@iyiparti  @herkesicinCHP,unusable
@ekrem_imamoglu O kemal bey cb adayını anadoluda gezdiriyor.Ortağınız hdp başka aday kabul etmem mi dedi?,not manipulative
